mstar,sfr
7.940758,0.0
7.7932663,0.0
8.328535,0.42648107
7.368733,0.0
8.567878,0.0
7.64674,0.0
7.129798,0.0
7.8866086,0.0
8.158411,0.85511756
7.3786263,0.0
7.0603456,0.0
7.1547236,0.0
8.404146,0.0
8.044833,0.0
7.1641817,0.0
7.167604,0.0
7.5825453,0.0
7.8722115,0.38626304
8.800517,0.0
7.301448,0.0
7.110469,0.0
7.656038,0.0
8.028983,0.0
7.999969,0.0
8.80753,0.0
7.264406,0.0
7.1658893,0.0
8.19594,0.0
7.039782,0.0
7.8461947,0.0
7.9085393,0.0
7.6710563,0.0
7.216653,0.0
7.1211987,0.0
7.369192,0.0
7.997104,0.0
7.827005,0.0
7.438517,0.0
7.4247813,0.0
7.0342436,0.0
7.7469873,0.0
7.112551,0.0
7.926871,0.0
7.276999,0.0
8.116839,0.0
7.321517,0.0
7.803328,0.0
8.194076,0.0
7.571362,0.0
8.398171,0.0
7.084113,0.0
7.813702,0.0
8.781781,0.0
7.4085445,0.0
7.546402,0.0
7.4861407,0.0
7.197535,0.0
7.182165,0.0
7.7972503,0.0
7.597945,0.0
7.588116,0.0
7.5561438,0.0
7.468039,0.0
7.6434197,0.0
8.731498,0.0
7.086151,0.0
7.4452624,0.0
7.4185796,0.0
8.361263,0.27683017
8.751498,0.0
8.221616,0.0
7.796828,0.0
7.2451315,0.0
7.03354,0.0
7.691529,0.0
7.615902,0.0
7.5812964,0.0
7.057656,0.0
8.22974,0.0
7.0865283,0.0
8.691959,0.0
8.329491,0.0
7.417458,0.0
7.0174885,0.0
7.2449975,0.0
8.680646,0.0
7.67061,0.0
8.0153055,0.0
7.236812,0.0
7.6540833,0.0
8.493314,0.0
7.7412663,0.0
7.216897,0.0
7.6056795,0.0
7.8333397,0.0
8.554954,0.0
7.216528,0.0
7.1606874,0.0
7.107701,0.0
7.992358,0.0
7.4478126,0.0
8.630375,0.0
7.9941173,0.0
7.7054253,0.26377267
7.9254503,0.50509065
7.8406587,0.0
8.179678,0.0
7.735279,0.0
7.9922285,0.0
7.3170547,0.0
7.4887905,0.0
7.464097,0.0
7.337177,0.0
7.8329344,0.27695104
7.2970195,0.3156848
7.288968,0.0
7.4105353,0.0
7.0581737,0.0
8.583136,0.0
8.158393,0.0
7.882909,0.0
7.7010307,0.0
7.273375,0.0
8.330793,0.0
7.492934,0.14054477
7.2927,0.0
7.9423785,0.0
7.548069,0.0
7.1678658,0.0
7.375217,0.0
7.922677,0.0
8.092303,0.0
7.8790436,0.0
7.399292,0.0
7.464105,0.0
8.585398,0.0
7.1630826,0.0
7.254349,0.14633761
7.968889,0.0
7.158987,0.0
7.3113136,0.0
7.497159,0.0
8.357236,0.0
7.5147963,0.0
7.280233,0.0
7.25981,0.0
7.4980593,0.0
7.702945,0.0
7.736708,0.15531318
8.152278,0.0
7.0685873,0.0
7.3659472,0.0
7.501048,0.0
7.2722406,0.0
7.2863736,0.0
7.489328,0.0
7.2419086,0.0
7.2593737,0.0
7.699199,0.0
7.9185314,0.0
8.405236,0.0
7.655377,0.0
7.345164,0.0
7.0594845,0.0
7.6052823,0.0
7.2401433,0.0
7.3489723,0.0
8.045797,0.19563302
7.7043295,0.14181513
7.5932374,0.0
8.197956,0.0
8.444501,0.0
7.2620597,0.0
7.228512,0.0
7.3624125,0.0
8.3317995,0.0
